,anomaly,machine_type,model_type,length,filename,file_path
0,1,fan,id_00,10.0,00000000.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000000.wav
1,1,fan,id_00,10.0,00000001.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000001.wav
2,1,fan,id_00,10.0,00000002.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000002.wav
3,1,fan,id_00,10.0,00000003.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000003.wav
4,1,fan,id_00,10.0,00000004.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000004.wav
5,1,fan,id_00,10.0,00000005.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000005.wav
6,1,fan,id_00,10.0,00000006.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000006.wav
7,1,fan,id_00,10.0,00000007.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000007.wav
8,1,fan,id_00,10.0,00000008.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000008.wav
9,1,fan,id_00,10.0,00000009.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000009.wav
10,1,fan,id_00,10.0,00000010.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000010.wav
11,1,fan,id_00,10.0,00000011.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000011.wav
12,1,fan,id_00,10.0,00000012.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000012.wav
13,1,fan,id_00,10.0,00000013.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000013.wav
14,1,fan,id_00,10.0,00000014.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000014.wav
15,1,fan,id_00,10.0,00000015.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000015.wav
16,1,fan,id_00,10.0,00000016.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000016.wav
17,1,fan,id_00,10.0,00000017.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000017.wav
18,1,fan,id_00,10.0,00000018.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000018.wav
19,1,fan,id_00,10.0,00000019.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000019.wav
20,1,fan,id_00,10.0,00000020.wav,C:\Users\aubin\beCode\anomalyDetection\AudioMalfunctionDetection\Data\fan\id_00\abnormal\00000020.wav
